TXG;6450000
MMM;1810000000
ABT;78500000
ABBV;27900000
ACHC;1210000
ACN;120000000
AYI;12600000
ADM;3180000
ADBE;1780000000
ADP;205000000
ADT;12600000
AAP;281000000
WMS;104000000
ACM;12100000
AES;53900000
AFRM;18800000
AFL;4290000
AGCO;8410000
AGL;294000
ADC;440000000
AGNC;232000
AIG;1040000000
AL;31200000
APD;98900000
ABNB;262000000
AKAM;8720000
ALK;29300000
ALB;3710000
ACI;6440000
AA;6930000
ARE;778000
ALGN;329000000
ALLE;230000
ALGM;3210000
LNT;1930000
ALSN;1820000
ALL;14000000
ALLY;87700000
ALNY;782000
GOOGL;124000000
GOOG;124000000
AYX;2000000
MO;2640000
AMZN;5260000000
AMC;3790000
AMCR;1120000
AMD;1900000000
DOX;2650000
AMED;1020000
AEE;956000
AAL;255000000
AEP;1370000000
AXP;1800000000
AFG;604000000
AMH;183000000
AMT;88600000
AWK;1390000000
COLD;92300
AMP;3960000
AME;2540000
AMG;392000000
AMGN;32900000
APH;7790000
ADI;128000000
NLY;290000
ANSS;25500000
AM;165000
AR;4710000
AON;149000000
APA;117000000
APLS;212000
APO;72900
AAPL;9790000000
AMAT;759000000
APP;3670000
ATR;157000
APTV;46100000
ARMK;7340000
ACGL;12500000
AMBP;91700
ARES;3770000
ANET;2330000
AWI;13600000
ARW;171000000
AJG;4550000
ASH;18600000
AZPN;52300000
AIZ;12500000
AGO;89300000
T;1580000000
TEAM;31400000
ATO;12700000
ADSK;94200000
AN;3510000
AZO;27200000
AVB;440000
AGR;376000
AVTR;651000
AVY;6470000
CAR;136000000
AVT;3690000
AXTA;392000
AXS;19600000
AXON;10300000
AZEK;966000
AZTA;130000
BKR;32300000
BALL;333000000
BAC;400000000
OZK;932000
BBWI;2550000000
BAX;152000000
BDX;7850000
BSY;55200000
WRB;668000
BRK.B;24300000
BERY;24800000
BBY;8760000000
BILL;39100000
BIO;27500000
TECH;416000
BIIB;606000
BMRN;887000
BIRK;128000
BJ;5140000
BLK;63600000
BX;51300000
HRB;15600000
SQ;4830000000
OWL;6700000
BK;12300000
BA;318000000
BOKF;1340000
BKNG;4140000
BAH;539000
BWA;7570000
SAM;66600000
BXP;331000000
BSX;452000000
BYD;70500
BFAM;20100000
BHF;836000
BMY;13300000
BRX;128000
AVGO;25300000
BR;884000
BEPC;376000
BRO;3090000000
BF.A;7850000
BF.B;7850000
BRKR;22600000
BC;279000000
BLDR;1020000
BG;6960000
BURL;3080000
BWXT;701000
CHRW;6680000
CABO;470000000
CACI;1860000
CDNS;12500000
CZR;6370000
CPT;7100000
CPB;11900000
COF;456000000
CPRI;4660000
CAH;35700000
CSL;17300000
CG;16500000
KMX;25200000
CCL;1420000
CARR;581000000
CRI;9250000
CASY;87700000
CTLT;1240000
CAT;176000000
CAVA;9280000
CBOE;3380000
CBRE;23600000
CCCS;1290000
CDW;164000000
CE;2930000
CELH;898000
COR;602000
CNC;3160000
CNP;7120000
CERT;128000
CF;1900000
CHPT;340000
CRL;24700000
SCHW;15900000
CHTR;161000000
CHE;180000
CC;1650000
LNG;1440000
CHK;13000000
CVX;456000000
CMG;19400000
CHH;151000000
CB;481000000
CHD;4710000
CHDN;24500000
CIEN;1870000
CI;45600000
CINF;28200000
CTAS;13700000
CRUS;1380000
CSCO;234000000
C;169000000
CFG;304000000
CLVT;145000
CLH;3700000
CWEN.A;1060000
CWEN;1060000
CLF;1840000
CLX;9620000
NET;132000000
CME;29200000
CMS;220000000
CNA;2820000
CNHI;7220000
KO;207000000
CGNX;801000
CTSH;14200000
COHR;79700000
COIN;57100000
CL;12400000
COLB;91000000
COLM;23700000
CMCSA;110000000
CMA;2820000
CBSH;2030000
ED;12100000
CAG;2780000
CNXC;1920000
CFLT;10500000
COP;4870000
STZ;134000000
CEG;20100000
COO;166000000
CPRT;6770000
CNM;773000000
GLW;23000000
CTVA;2610000
CSGP;21300000
COST;435000000
CTRA;190000
COTY;9520000
CPNG;28300000
CUZ;17000000
CR;307000000
CXT;492000
CACC;323000000
CROX;105000000
CRWD;706000
CCI;32800000
CCK;55600000
CSX;51500000
CUBE;1390000
CMI;121000000
CW;5160000
CVS;12000000
DHI;15700000
DHR;5570000
DRI;2760000
DAR;3610000
DDOG;2720000
DVA;1640000
DECK;1400000
DE;131000000
DAL;241000000
XRAY;5950000
DVN;5240000
DXCM;1840000
FANG;4500000
DKS;13900000
DLR;77200000
DFS;1060000000
DIS;193000000
DOCU;6200000
DLB;9850000
DG;1170000000
DLTR;231000000
D;10100000
DPZ;38100000
DCI;14000000
DASH;21300000
DV;2410000
DOV;88300000
DOW;55200000
DOCS;3760000
DKNG;5540000
DRVN;48300000
DBX;24000000
DTM;192000
DTE;7330000
DUK;16600000
DNB;7670000
DD;152000000
DXC;7540000
DT;2490000
EXP;65600000
EWBC;44000000
EGP;142000
EMN;6540000
ETN;93500000
EBAY;705000000
ECL;8920000
EIX;51100000
EW;4980000
ELAN;2940000
ESTC;7140000
EA;942000000
ESI;1270000
ELV;2170000
EME;521000
EMR;15100000
EHC;5000000
ENOV;175000
ENPH;2290000
ENTG;591000
ETR;5680000
NVST;281000
EOG;2490000
EPAM;2900000
EPR;22200000
EQT;4650000
EFX;6630000
EQIX;1220000
EQH;59300000
ELS;16900000
EQR;268000000
ESAB;9150000
WTRG;5190000000
ESS;2760000
EL;21100000
ETSY;211000000
EEFT;989000
EVR;997000
EG;31100000
EVRG;1290000000
ES;1880000
EXAS;126000000
EXEL;326000
EXC;2080000
EXPE;111000000
EXPD;262000
EXR;540000000
XOM;32900000
FFIV;844000000
FDS;6720000
FAST;2850000
FRT;8250000
FDX;175000000
FERG;4080000
FICO;17900000
FNF;42500000
FITB;5830000
FAF;372000000
FCNCA;8020000
FHB;51600000
FHN;64400000
FR;30100000
FSLR;1190000000
FE;4040000
FIS;59100000
FI;6960000
FIVE;4000000000
FIVN;448000
FLT;2840000
FND;23200000
FLO;501000000
FLS;2950000
FMC;11300000
FNB;4400000
F;360000000
FTNT;15500000
FTV;469000
FTRE;82800
FBIN;28200000
FOXA;851000000
FOX;851000000
BEN;220000000
FCX;460000
FRPT;1610000
FYBR;80700000
CFR;188000
FCN;1150000
GME;139000000
GLPI;8420000
GPS;637000000
GRMN;214000000
IT;116000000
GTES;1420000
GE;1700000000
GEHC;333000000
GEN;3560000000
GNRC;1750000
GD;590000000
GIS;272000000
GM;318000000
G;6740000
GNTX;757000
GPC;261000000
GILD;19400000
DNA;268000
GTLB;40300000
GPN;3460000000
GFS;3340000
GLOB;1060000
GL;2580000000
GMED;4750000
GDDY;46800000
GS;33200000
GGG;18800000
GWW;4250000
LOPE;11000000
GPK;14400000
GO;8280000
GWRE;1040000
GXO;937000
HAL;8970000
THG;322000000
HOG;28100000
HIG;31200000
HAS;79100000
HCP;1250000
HE;14700000
HAYW;5230000
HCA;73500000
HR;4530000
PEAK;4350000
HEI.A;913000
HEI;913000
JKHY;7580000
HSY;29000000
HTZ;737000
HES;34200000
HPE;26900000
HXL;496000
DINO;863000
HIW;261000
HLT;87700000
HOLX;2800000
HD;854000000
HON;73300000
HRL;1150000
HST;14000000
HLI;419000
HHH;4190000
HWM;343000
HPQ;63300000
HUBB;5480000
HUBS;25500000
HUM;124000000
HBAN;2940000
HII;652000
HUN;6450000
H;195000000
IAC;85400000
IBM;603000000
ICLR;108000000
ICUI;198000000
IDA;101000
IEX;268000000
IDXX;3080000
ITW;373000000
ILMN;70000000
INCY;638000
INFA;54500000
IR;5300000
INGR;475000
INSP;104000000
PODD;433000
IART;318000
INTC;971000000
IBKR;6470000
ICE;2290000000
IFF;1160000
IP;2750000000
INTU;30100000
ISRG;15800000
IVZ;4860000
INVH;18800000
IONS;382000
IPG;1780000
IPGP;555000
IQV;561000
IRDM;46600000
IRM;86100000
ITT;20100000
JBL;1580000
J;11600000
JHG;5110000
JAZZ;519000
JBHT;4280000
JEF;6130000
JNJ;2400000000
JCI;543000000
JLL;4190000
JPM;32300000
JNPR;34100000
KBR;10700000
K;59000000
KMPR;22900000
KVUE;578000
KDP;1030000
KEY;786000
KEYS;7150000
KRC;235000
KMB;50100000
KIM;413000
KMI;5570000
KNSL;125000
KEX;67900000
KKR;5610000
KLAC;373000
KNX;844000
KSS;157000000
KHC;17600000
KR;58900000
KD;202000
LHX;2140000
LH;36200000
LRCX;64900000
LAMR;20400000
LW;6590000
LSTR;560000
LVS;17100000
LSCC;3810000
LAZ;1340000
LEA;10800000
LEG;1660000
LDOS;686000
LEN;4840000
LEN.B;4840000
LII;12000000
LBRDA;974000
LBRDK;2320000
FWONA;487000000
FWONK;31000000
LLYVA;487000000
LLYVK;31000000
LSXMA;50300000
LSXMK;31000000
LLY;24600000
LECO;2430000
LNC;212000000
LIN;1890000
LAD;3090000
LFUS;5940000
LYV;534000000
LKQ;1060000
LMT;38500000
L;1460000
LPX;14400000
LOW;415000000
LPLA;1160000
LCID;15100000
LULU;6560000
LITE;130000
LYFT;20500000
LYB;221000
MTB;1210000
M;187000000
MSGS;20100000
MANH;15000000
MAN;6730000
CART;30300000
MRO;8750000
MPC;5060000
MRVI;61700
MKL;1200000
MKTX;175000
MAR;167000000
VAC;2870000
MMC;2080000
MLM;1740000
MRVL;1360000
MAS;2270000
MASI;2820000
MTZ;819000
MA;1100000000
MTCH;2790000000
MAT;78300000
MKC;20400000
MCD;342000000
MCK;9670000
MDU;606000
MPW;40400000
MEDP;154000
MDT;40200000
MRK;357000000
MRCY;208000000
META;3020000000
MET;13400000
MTD;5260000
MTG;147000
MGM;10800000
MCHP;26400000
MU;78200000
MSFT;4590000000
MAA;12300000
MIDD;416000
MCW;23300000
MKSI;2310000
MRNA;1140000000
MHK;9720000
MOH;15100000
TAP;959000
MDLZ;4090000
MDB;144000000
MPWR;14200000
MNST;10600000
MCO;237000000
MS;122000000
MORN;34700000
MOS;191000000
MSI;140000000
MP;69500000
MSA;24600000
MSM;16500000
MSCI;46200000
MUSA;155000000
NDAQ;229000000
NTRA;1110000
NFG;279000000
NSA;22300000
NCNO;198000
NATL;158000
VYX;171000
NLOP;26400000
NTAP;22000000
NFLX;2590000000
NBIX;322000
NFE;16000000
NYCB;2660000
NYT;3270000000
NWL;18800000
NEU;3530000
NEM;379000
NWSA;9950000000
NWS;9950000000
NXST;7950000
NEE;3000000
NKE;1450000000
NI;476000
NNN;174000
NDSN;1130000
JWN;79700000
NSC;8640000
NTRS;280000000
NOC;16700000
NCLH;1970000
NOV;1280000
NVCR;166000
NRG;6870000
NU;2880000
NUE;1740000
NTNX;1800000
NVT;258000
NVDA;405000000
NVR;9190000
ORLY;9900000
OXY;3590000
OGE;237000
OKTA;10500000
OLPX;175000
ODFL;1980000
ORI;91600000
OLN;11200000
OLLI;772000
OHI;905000
OMC;5060000
ON;79200000
OMF;299000
OKE;525000
ORCL;232000000
OGN;3680000
OSK;7160000
OTIS;140000000
OVV;222000
OC;7050000
PCAR;6690000
PKG;53100000
PLTR;6900000
PANW;96800000
PARAA;183000000
PARA;183000000
PK;68900000
PH;5160000
PAYX;1200000
PAYC;546000
PYCR;119000
PCTY;143000
PYPL;1040000000
PEGA;980000
PTON;2810000
PENN;97600000
PAG;2640000
PNR;443000
PEN;2550000
PEP;49200000
PFGC;874000000
PRGO;5180000
WOOF;22700000
PFE;378000000
PCG;5250000
PM;34400000
PSX;203000000
PHIN;104000
PPC;3450000
PNFP;6600000
PNW;4400000
PINS;606000000
PXD;42400000
PLNT;214000000
PLTK;49600
PLUG;295000000
PNC;6330000
PII;147000000
POOL;408000000
BPOP;3310000000
POST;121000000
PPG;6730000
PPL;120000000
PINC;636000000
TROW;11300000
PRI;1350000
PFG;555000000
PG;43100000
PGR;623000000
PLD;2490000
PB;134000
PRU;79000000
PTC;94600000
PSA;1290000000
PEG;5520000000
PHM;6140000
PSTG;275000000
PVH;5650000
QGEN;826000
QRVO;1070000
QCOM;130000000
PWR;3960000
QS;324000
DGX;103000000
QDEL;156000
RCM;1500000
RL;126000000
RRC;916000000
RJF;18200000
RYN;323000
RTX;81500000
RBC;239000000
O;67800000
RRX;521000
REG;2790000
REGN;2240000
RF;508000000
RGA;4350000
RS;111000000
RNR;137000
RGEN;228000
RSG;387000000
RMD;6080000
RVTY;37200000
REXR;106000
REYN;9890000
RH;1700000000
RNG;3920000
RBA;115000000
RITM;212000
RIVN;69200000
RLI;3890000
RHI;277000000
HOOD;19600000
RBLX;866000000
RKT;106000000
ROK;9950000
ROKU;1140000000
ROL;11700000
ROP;10400000
ROST;220000000
RCL;111000000
RGLD;219000000
RPRX;442000
RPM;69400000
RYAN;4200000
R;8920000
SPGI;101000000
SAIA;7250000
SAIC;448000000
CRM;352000000
SLM;3830000
SRPT;375000
SBAC;2730000
HSIC;2990000
SLB;1820000
SNDR;63600000
SMG;1770000
SEB;3200000
SEE;254000000
SEIC;9870000
SRE;2600000
ST;416000
S;714000
SCI;1460000000
NOW;62200000
SHW;22800000
FOUR;239000
SWAV;6840000
SLGN;225000
SPG;64900000
SIRI;29000000
SITE;614000
SKX;84300000
SWKS;1160000
SMAR;4060000
AOS;11100000
SJM;2090000
SNA;1230000000
SNOW;160000000
SOFI;12300000
SON;643000
SHC;397000
SO;2310000000
SCCO;26900000
LUV;53400000
SWN;30100000
SPB;74400000
SPR;301000
SPOT;1650000000
SSNC;249000
SSRM;2360000
STAG;20700000
SWK;15700000
SBUX;438000000
STWD;578000
STT;744000000
STLD;26200000
SRCL;647000
STE;3860000
SF;1100000
SYK;7180000
SUI;763000000
RUN;4090000
SYF;22100000
SNPS;4270000
SNV;510000
SYY;6480000
TMUS;11110000000
TTWO;1450000000
TNDM;9200000
TPR;140000000
TRGP;763000
TGT;595000000
SNX;376000
FTI;230000
TDOC;1060000
TDY;4680000
TFX;4720000
TPX;322000
THC;2360000
TDC;7720000
TER;564000
TSLA;683000000
TTEK;7910000
TXN;199000000
TPL;13300000
TXRH;9490000
TXT;4010000
TMO;60300000
TFSL;704000
THO;20300000
TKR;6890000
TJX;10300000
TKO;533000
TOST;97200000
TOL;53500000
BLD;227000
TTC;500000000
TPG;7640000
TSCO;57600000
TTD;112000000
TW;310000
TT;9240000
TDG;248000
TRU;13800000
TNL;30000000
TRV;426000000
TREX;2910000
TRMB;32000000
TRIP;114000000
TFC;1830000
TWLO;20000000
TYL;200000000
TSN;33500000
UHAL;9560000
UHAL.B;3260000
X;818000000
UBER;1100000000
UI;38700000
UDR;1100000
UGI;2500000
PATH;17200000
ULTA;217000000
RARE;200000
UAA;215000000
UA;215000000
UNP;55000000
UAL;38400000
UPS;118000000
URI;142000000
UTHR;40300000
UWMC;246000
UNH;36300000
U;412000000
OLED;141000000
UHS;703000000
UNM;11400000
USB;6130000000
USFD;536000000
MTN;3510000
VLO;7150000
VMI;486000
VVV;7680000
VEEV;1980000
VTR;68600000
VLTO;167000
VRSN;19400000
VRSK;2360000
VZ;29400000
VRTX;6590000
VRT;397000
VSTS;410000
VFC;30800000
VSAT;9760000
VTRS;1060000
VICI;780000
VSCO;91500000
VIRT;896000
V;3030000000
VST;800000
VNT;326000
VNO;417000
VOYA;1150000
VMC;7510000
WPC;10400000
WAB;811000
WBA;1470000
WMT;711000000
WBD;106000000
WM;665000000
WAT;936000000
WSO;252000
W;11600000
WBS;28300000
WEC;66000000
WFC;81200000
WELL;302000
WEN;4920000
WCC;1540000
WST;124000000
WAL;1410000
WDC;1040000000
WU;987000000
WLK;6290000
WRK;2240000
WEX;3180000
WY;3000000
WHR;194000000
WTM;64200000
WMB;393000000
WSM;21600000
WTW;450000
WSC;72000
WING;4820000
WTFC;354000
KLG;1530000
WOLF;1400000
WWD;29500000
WDAY;214000000
WH;40000000
WYNN;13900000
XEL;3570000
XP;190000000
XPO;4630000
XYL;23500000
YETI;3700000
YUM;75000000
ZBRA;109000000
ZG;32300000
Z;32300000
ZBH;374000
ZION;354000
ZTS;9360000
ZM;115000000
ZI;6800000
ZS;3800000
